ranking,Country
1,United States
2,China
3,Japan
4,Germany
5,India
6,United Kingdom
7,France
8,Russia
9,Canada
10,Italy
11,Brazil
12,Australia
13,Korea
14,Mexico
15,Spain
16,Indonesia
17,Saudi Arabia
18,Netherlands
19,Turkey
20,Switzerland
21,Poland
22,Argentina
23,Sweden
24,Norway
25,Belgium
26,Ireland
27,Israel
28,United Arab Emirates
29,Thailand
30,Nigeria
31,Egypt
32,Austria
33,Singapore
34,Bangladesh
35,Vietnam
36,Malaysia
37,South Africa
38,Philippines
39,Denmark
40,Iran
41,Pakistan
42,Hong Kong
43,Colombia
44,Romania
45,Chile
46,Czech Republic (Czechia)
47,Finland
48,Iraq
49,Portugal
50,New Zealand
51,Peru
52,Qatar
53,Kazakhstan
54,Greece
55,Algeria
56,Kuwait
57,Hungary
58,Ukraine
59,Morocco
60,Ethiopia
61,Slovakia
62,Ecuador
63,Oman
64,Dominican Republic
65,Kenya
66,Angola
67,Guatemala
68,Bulgaria
69,Luxembourg
70,Uzbekistan
71,Azerbaijan
72,Panama
73,Tanzania
74,Sri Lanka
75,Ghana
76,Belarus
77,Uruguay
78,Croatia
79,Lithuania
80,C?te d'Ivoire
81,Costa Rica
82,Serbia
83,Slovenia
84,Myanmar
85,DR Congo
86,Sudan
87,Jordan
88,Tunisia
89,Libya
90,Uganda
91,Bahrain
92,Cameroon
93,Bolivia
94,Paraguay
95,Latvia
96,Nepal
97,Estonia
98,El Salvador
99,Honduras
100,Papua New Guinea
101,Cambodia
102,Zambia
103,Cyprus
104,Trinidad and Tobago
105,Iceland
106,Senegal
107,Georgia
108,Bosnia and Herzegovina
109,Macao
110,Guinea
111,Gabon
112,Zimbabwe
113,Botswana
114,Haiti
115,Armenia
116,State of Palestine
117,Burkina Faso
118,Albania
119,Mali
120,Mozambique
121,Malta
122,Benin
123,Jamaica
124,Mongolia
125,Brunei
126,Laos
127,Nicaragua
128,Guyana
129,Madagascar
130,Congo
131,Moldova
132,Niger
133,North Macedonia
134,Rwanda
135,Malawi
136,Mauritius
137,Bahamas
138,Chad
139,Namibia
140,Equatorial Guinea
141,Kyrgyzstan
142,Tajikistan
143,Mauritania
144,Togo
145,Maldives
146,Montenegro
147,Barbados
148,Fiji
149,Eswatini
150,Liberia
151,Sierra Leone
152,Suriname
153,Andorra
154,Timor-Leste
155,Burundi
156,Belize
157,Lesotho
158,Central African Republic
159,Cabo Verde
160,Gambia
161,Saint Lucia
162,Antigua and Barbuda
163,Guinea-Bissau
164,Solomon Islands
165,Seychelles
166,Grenada
167,Comoros
168,Vanuatu
169,Saint Kitts & Nevis
170,St. Vincent & Grenadines
171,Samoa
172,Dominica
173,Sao Tome & Principe
174,Micronesia
175,Marshall Islands
176,Kiribati
177,Tuvalu
