Rank,Country,Cigarettes 20 Pack
,,(Marlboro)
1,Australia,29.51
2,New Zealand,24.03
3,Ireland,17.46
4,United Kingdom,17.15
5,Canada,13.8
6,Norway,13.77
7,Hong Kong (China),12.83
8,Singapore,12.72
9,France,12.14
10,Finland,10.91
11,Switzerland,10.48
12,United States,10
13,Netherlands,9.82
14,Israel,9.39
15,Germany,8.95
16,Sri Lanka,8.95
17,Belgium,8.84
18,Denmark,8.77
19,Saudi Arabia,7.46
20,Palestine,7.05
21,Sweden,6.65
22,Qatar,6.57
23,Austria,6.55
24,Italy,6.55
25,Czech Republic,6.26
26,United Arab Emirates,6.26
27,Malta,6.22
28,Luxembourg,6.11
29,Hungary,6.04
30,Ecuador,6
31,Portugal,6
32,Estonia,5.94
33,Mauritius,5.87
34,Spain,5.84
35,Oman,5.71
36,Slovenia,5.51
37,Panama,5.5
38,Romania,5.48
39,Cyprus,5.46
40,Lithuania,5.46
41,Slovakia,5.46
42,Peru,5.38
43,Chile,5.3
44,Croatia,5.24
45,Greece,5.02
46,Uruguay,4.92
47,Latvia,4.91
48,Poland,4.81
49,Costa Rica,4.74
50,India,4.17
51,Japan,4.06
52,Thailand,4.06
53,Malaysia,4.01
54,Venezuela,4
55,Morocco,3.97
56,Montenegro,3.93
57,Serbia,3.92
58,Mexico,3.87
59,Albania,3.82
60,Azerbaijan,3.68
61,Taiwan,3.67
62,Jordan,3.53
63,Cuba,3.5
64,China,3.48
65,Bosnia And Herzegovina,3.35
66,Bulgaria,3.35
67,Kuwait,3.27
68,Korea,3.27
69,Tunisia,3.24
70,Nepal,2.98
71,Georgia,2.96
72,Bolivia,2.9
73,North Macedonia,2.84
74,South Africa,2.82
75,Bangladesh,2.73
76,Kenya,2.7
77,Philippines,2.66
78,Algeria,2.61
79,Armenia,2.58
80,Russia,2.46
81,Colombia,2.41
82,Indonesia,2.34
83,Libya,2.3
84,Ukraine,2.2
85,Brazil,2.12
86,Iran,2.05
87,Argentina,2
88,Iraq,2
89,Uzbekistan,2
90,Pakistan,1.98
91,Turkey,1.94
92,Egypt,1.83
93,Kazakhstan,1.68
94,Belarus,1.53
95,Vietnam,1.29
