년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2004,159,13.4,9.7,18
2005,159,12.7,8.9,17.6
2006,159,12.2,8.5,16.9
2007,159,13.4,10,17.6
2008,159,13.6,10.4,17.8
2009,159,14.2,10.7,18.6
2010,159,12.2,8.7,16.3
2011,159,12.6,8.9,16.9
2012,159,13.7,10.4,17.8
2013,159,13.7,9.6,18.1
2014,159,14.4,10.9,19
2015,159,14.1,10.5,18.3
2016,159,14.8,11.3,19.1
2017,159,14.3,10.7,18.9
2018,159,14.1,10.7,18.2
2019,159,14.4,10.8,18.7
2020,159,13.6,10.1,18.1
2021,159,14.6,11.1,19
2022,159,14.8,11.2,19.1
2023,159,14.9,11.5,19.2
2024,159,14.7,11,19.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"			",,,,
